Question,Detected_answer
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers
Where did Super Bowl 50 take place?,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California"
Which NFL team won Super Bowl 50?,Carolina Panthers
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold
What was the theme of Super Bowl 50?,golden anniversary
What day was the game played on?,"February 7, 2016"
What is the AFC short for?,Super Bowl 50 was an American football game to determine the champion of the National Football League ( NFL ) for the 2015 season. The American Football Conference
What was the theme of Super Bowl 50?,golden anniversary
What does AFC stand for?,American Football Conference
What day was the Super Bowl played on?,"February 7, 2016"
Who won Super Bowl 50?,Denver Broncos
What venue did Super Bowl 50 take place in?,Levi's Stadium
What city did Super Bowl 50 take place in?,"Santa Clara, California"
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L
Super Bowl 50 decided the NFL champion for what season?,2015
What year did the Denver Broncos secure a Super Bowl title for the third time?,2016
What city did Super Bowl 50 take place in?,"Santa Clara, California"
What stadium did Super Bowl 50 take place in?,Levi's Stadium
What was the final score of Super Bowl 50? ,24 – 10
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016"
What year was Super Bowl 50?,2015
What team was the AFC champion?,Denver Broncos
What team was the NFC champion?,Carolina Panthers
Who won Super Bowl 50?,Denver Broncos
Super Bowl 50 determined the NFL champion for what season?,2015
Which team won Super Bowl 50.,Carolina Panthers
Where was Super Bowl 50 held?,Levi's Stadium
The name of the NFL championship game is?,Super Bowl 50
What 2015 NFL team one the AFC playoff?,Denver Broncos
Which Carolina Panthers player was named Most Valuable Player?,Cam Newton
How many appearances have the Denver Broncos made in the Super Bowl?,eight
What year was the Carolina Panthers franchise founded?,1995
What team did the Panthers defeat?,Arizona Cardinals
Who did the Broncos prevent from going to the Super Bowl?,New England Patriots
Who did the Panthers beat in the NFC Championship Game?,Arizona Cardinals
Who lost to the Broncos in the AFC Championship?,Arizona Cardinals
Who were the defending Super Bowl champions?,New England Patriots
How many teams have been in the Super Bowl eight times?,four
Who was this season's NFL MVP?,Cam Newton
What was the win/loss ratio in 2015 for the Carolina Panthers during their regular season?,15 – 1
Which Carolina Panthers team member was picked as the team's MVP in 2015? ,Cam Newton
What were the win/loss game stats for the Denver Bronco's regular season in 2015?,15 – 1 record
How many teams have played in the Super Bowl eight times?,four
Which team did not get a chance to defend their Super Bowl XLIX win in Super Bowl 50?,New England Patriots
Who is the quarterback for the Panthers?,Cam Newton
Who did Carolina beat in the NFC championship game?,Arizona Cardinals
How many times have the Panthers been in the Super Bowl?,eight
Who did Denver beat in the AFC championship?,Arizona Cardinals
Who was the Most Valuable Player for the 2015 NFL season?,Cam Newton
Who did Denver beat in the 2015 AFC Championship game?,Arizona Cardinals
Who did the Carolina Panthers beat in the 2015 NFC Championship game?,Arizona Cardinals
Who was the 2015 NFL MVP?,Cam Newton
Who did the Panthers beat to become the NFC champs?,Arizona Cardinals
What year did the Carolina Panthers form?,1995
Who was the Super Bowl 50 MVP?,Von Miller
How many fumbles did Von Miller force in Super Bowl 50?,two
Which team held the scoring lead throughout the entire game?,Broncos
Which Denver linebacker was named Super Bowl MVP?,Von Miller
How many solo tackles did Von Miller make at Super Bowl 50?,five
Who was limited by Denver's defense?,Newton
How many times was Cam Newton sacked?,seven
Who won the Super Bowl MVP?,Von Miller
How many turnovers did Cam Newton have?,three
How many fumbles did Von Miller force?,two
Who was given the esteemed status of MVP for Super Bowl 50?,Von Miller
What position does Von Miller play for the Denver Broncos?,linebacker
What was the number of solo tackles that Von Miller had in Super Bowl 50?,five
How many forced fumbles did Von Miller have during the Super Bowl 50 game?,two
Who won the MVP for the Super Bowl?,Von Miller
How many tackles did Von Miller get during the game?,five
How many times was Cam Newton sacked in Super Bowl 50?,seven
How many times did the Denver defense force Newton into turnovers?,three
Which Newton turnover resulted in seven points for Denver?,a fumble
Who was the Most Valuable Player of Super Bowl 50?,Von Miller
What position does Von Miller play?,linebacker
How many times was the Panthers' quarterback sacked?,seven
How many times did the Broncos cause turnovers in the game?,three
What Denver player caused two fumbles for the Panthers?,Von Miller
How many tackles did Von Miller accomlish by himself in the game?,five
Which network broadcasted Super Bowl 50 in the U.S.?,CBS
What was the average cost for a 30 second commercial during Super Bowl 50?,$ 5 million
Which group headlined the Super Bowl 50 halftime show?,Coldplay
Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars
At which Super Bowl did Beyonce headline the halftime show?,Super Bowl 50
Who was the broadcaster for Super Bowl 50 in the United States?,CBS
What was the average cost of a 30-second commercial?,$ 5 million
What halftime performer previously headlined Super Bowl XLVII?,Beyoncé and Bruno Mars
What halftime performer previously headlined Super Bowl XLVIII?,Beyoncé and Bruno Mars
Who was the main performer at this year's halftime show?,Beyoncé and Bruno Mars
Which network broadcasted the 50th Super Bowl game? ,CBS
What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$ 5 million
Who was the male singer who performed as a special guest during Super Bowl 50?,Beyoncé and Bruno Mars
What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third
What station aired the Super Bowl?,CBS
How much money did a 1/2 minute commercial cost?,$ 5 million
What band headlined half-time during Super Bowl 50?,Coldplay
What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars
Who broadcast the Super Bowl on TV?,CBS
Who headlined the halftime show for Super Bowl 50?,Coldplay with special guest performers Beyoncé and Bruno Mars
